essai,temps,vitesse_mm_s,wrench_N
1,0.7316,0.0,50
1,0.7336,0.0,50
1,0.7356,0.0,50
1,0.7377,41.62,50
1,0.7397,45.06,50
1,0.7417,45.65,50
1,0.7437,50.39,50
1,0.7458,51.89,50
1,0.7478,52.09,50
1,0.7498,51.67,50
1,0.7518,53.0,50
1,0.7538,55.46,50
1,0.7558,57.79,50
1,0.7579,60.71,50
1,0.7599,65.72,50
1,0.7619,67.47,50
1,0.7639,72.12,50
1,0.7659,75.77,50
1,0.7679,81.27,50
1,0.7699,86.16,50
1,0.772,89.55,50
1,0.774,93.71,50
1,0.776,99.11,50
1,0.778,102.86,50
1,0.78,106.38,50
1,0.782,107.72,50
1,0.784,110.94,50
1,0.786,114.24,50
1,0.7881,115.26,50
1,0.7901,115.09,50
1,0.7921,118.41,50
1,0.7941,117.85,50
1,0.7961,118.98,50
1,0.7981,118.67,50
1,0.8001,120.83,50
1,0.8021,122.22,50
1,0.8042,122.37,50
1,0.8062,124.04,50
1,0.8082,123.84,50
1,0.8102,124.57,50
1,0.8122,125.73,50
1,0.8142,125.46,50
1,0.8162,126.55,50
1,0.8183,126.43,50
1,0.8203,127.87,50
1,0.8223,128.77,50
1,0.8243,129.01,50
1,0.8263,127.75,50
1,0.8283,128.0,50
1,0.8303,129.71,50
1,0.8324,128.69,50
1,0.8344,129.08,50
1,0.8364,131.8,50
1,0.8384,131.32,50
1,0.8404,134.58,50
1,0.8425,136.43,50
1,0.8445,137.52,50
1,0.8465,140.24,50
1,0.8485,142.48,50
1,0.8505,144.53,50
1,0.8525,143.36,50
1,0.8545,146.31,50
1,0.8565,148.2,50
1,0.8586,147.2,50
1,0.8606,150.52,50
1,0.8626,148.99,50
1,0.8646,151.76,50
1,0.8666,154.47,50
1,0.8686,153.19,50
1,0.8706,154.21,50
1,0.8726,156.96,50
1,0.8747,158.42,50
1,0.8767,156.76,50
1,0.8787,157.92,50
1,0.8807,160.05,50
1,0.8827,157.18,50
1,0.8847,160.57,50
1,0.8867,160.77,50
1,0.8887,161.24,50
1,0.8908,159.58,50
1,0.8928,164.52,50
1,0.8948,160.24,50
1,0.8969,159.38,50
1,0.8989,157.07,50
1,0.901,160.44,50
1,0.903,159.97,50
1,0.9051,160.7,50
1,0.9071,159.52,50
1,0.9091,162.61,50
1,0.9111,159.56,50
1,0.9132,160.02,50
1,0.9152,159.73,50
1,0.9172,161.73,50
1,0.9192,159.68,50
1,0.9212,160.01,50
1,0.9233,160.43,50
1,0.9253,161.66,50
1,0.9274,163.67,50
1,0.9294,160.7,50
